fold,id,delta_w,w
1,558973,0.0,0.0
1,558974,0.0,0.0
1,558975,0.0,0.0
1,558976,0.0,0.0
1,558977,0.0,0.0
1,558978,0.0,0.0
1,558979,0.0,0.0
1,558980,0.0,0.0
1,558981,0.0,0.0
1,558982,0.0,0.0
1,558983,0.0,0.0
1,558984,0.0,0.0
1,558985,0.0,0.0
1,559651,0.0,0.0
1,559652,0.0,0.0
1,559653,0.0,0.0
1,559654,0.0,0.0
1,559655,0.0,0.0
1,559656,0.0,0.0
1,559657,0.0,0.0
1,559658,0.0,0.0
1,559659,0.0,0.0
1,559660,0.0,0.0
1,559661,0.0,0.0
1,559662,0.0,0.0
1,559663,0.0,0.0
1,559664,0.0,0.0
1,559665,0.0,0.0
1,559666,0.0,0.0
1,559667,0.0,0.0
1,559668,0.0,0.0
1,559669,0.0,0.0
1,559670,0.0,0.0
1,559671,0.0,0.0
1,559672,0.0,0.0
1,559673,0.0,0.0
1,559674,0.0,0.0
1,559675,0.0,0.0
1,559676,0.0,0.0
1,559677,0.0,0.0
1,559678,0.0,0.0
1,559679,0.0,0.0
1,559680,0.0,0.0
1,559681,0.0,0.0
1,559682,0.0,0.0
1,559683,0.0,0.0
1,559684,0.0,0.0
1,559685,0.0,0.0
1,559686,0.0,0.0
1,559687,0.0,0.0
1,559688,0.0,0.0
1,559689,0.0,0.0
1,559690,0.0,0.0
1,559691,0.0,0.0
1,559692,0.0,0.0
1,559693,0.0,0.0
1,559694,0.0,0.0
1,559695,0.0,0.0
1,560317,0.0,0.0
1,561229,0.0,0.0
1,561230,0.0,0.0
1,561231,0.0,0.0
1,561232,0.0,0.0
1,561233,0.0,0.0
1,561234,0.0,0.0
1,561235,0.0,0.0
1,561236,0.0,0.0
1,561237,0.0,0.0
1,561238,0.0,0.0
1,561239,0.0,0.0
1,561240,0.0,0.0
1,561241,0.0,0.0
1,561242,0.0,0.0
1,561243,0.0,0.0
1,561244,0.0,0.0
1,561245,0.0,0.0
1,561246,0.0,0.0
1,561247,0.0,0.0
1,561248,0.0,0.0
1,561249,0.0,0.0
1,561250,0.0,0.0
1,561251,0.0,0.0
1,561252,0.0,0.0
1,561253,0.0,0.0
1,561254,0.0,0.0
1,561255,0.0,0.0
1,561256,0.0,0.0
1,561257,0.0,0.0
1,561258,0.0,0.0
1,561259,0.0,0.0
1,561260,0.0,0.0
1,561261,0.0,0.0
1,561262,0.0,0.0
1,561263,0.0,0.0
1,561264,0.0,0.0
1,561365,0.0,0.0
1,561366,0.0,0.0
1,561367,0.0,0.0
1,561368,0.0,0.0
1,561369,0.0,0.0
2,561370,0.0,0.0
2,561371,0.0,0.0
2,561372,0.0,0.0
2,561373,0.0,0.0
2,561377,0.0,0.0
2,561379,0.0,0.0
2,561380,0.0,0.0
2,561381,0.0,0.0
2,561973,0.0,0.0
2,561974,0.031106875552958987,0.031106875552958987
2,561975,0.0,0.0
2,561976,0.0,0.0
2,561977,0.0,0.0
2,561978,0.0,0.0
2,561979,0.0,0.0
2,561980,0.0,0.0
2,561981,0.0,0.0
2,561982,0.0,0.0
2,561983,0.0,0.0
2,561984,0.0,0.0
2,561985,0.0,0.0
2,561986,0.0,0.0
2,561987,0.0,0.0
2,561988,0.0,0.0
2,561989,0.0,0.0
2,561990,0.0,0.0
2,561991,0.0,0.0
2,561992,0.0,0.0
