fold,id,weight,p_hat,c_exec,implied,edge
1,559689,0.0,0.02425452659611439,0.0065,0.0065,0.01775452659611439
1,559666,0.0,0.022738536893595278,0.0075,0.0075,0.015238536893595278
1,566142,0.0,0.06103863207196799,0.355,0.355,-0.293961367928032
1,561250,0.0,0.0268254959029028,0.0095,0.0095,0.017325495902902797
1,569367,0.00048318327251590983,0.08840710884086345,0.001,0.0005,0.08740710884086345
1,561976,0.0,0.029121846980911966,0.0125,0.0125,0.016621846980911965
1,561994,0.0,0.024841299252704514,0.0065,0.0065,0.018341299252704515
1,566136,0.0,0.06162188140429459,0.245,0.245,-0.1833781185957054
1,558958,0.0,0.03268140352357938,0.0025,0.0025,0.03018140352357938
1,564161,0.00021148274224294458,0.08837257471254518,0.022,0.022,0.06637257471254518
1,561243,0.0,0.036709409661533896,0.0375,0.0375,-0.0007905903384661031
1,561992,0.0,0.025076827290059098,0.0085,0.0085,0.016576827290059097
1,565064,0.0,0.04612992262003027,0.385,0.385,-0.33887007737996977
1,553839,0.00038996765883427567,0.08969106547563839,0.0095,0.0095,0.0801910654756384
1,562001,0.0,0.028893471376157456,0.0075,0.0075,0.021393471376157457
1,561252,0.0,0.044388500747196004,0.0165,0.0165,0.027888500747196003
1,553866,0.0,0.05823077246117012,0.1615,0.1615,-0.10326922753882989
1,558959,0.0,0.03241864768857467,0.0025,0.0025,0.029918647688574673
1,559665,0.0,0.02474153652185988,0.0095,0.0095,0.01524153652185988
1,561232,0.0,0.04146760951156408,0.0185,0.0185,0.02296760951156408
1,561981,0.0,0.028476028704045895,0.0115,0.0115,0.016976028704045895
1,564196,0.0003941920545194323,0.09852174079707166,0.018,0.018,0.08052174079707165
1,561250,0.0,0.0268254959029028,0.0095,0.0095,0.017325495902902797
1,564213,0.00030483054985517346,0.09160041226928585,0.018,0.018,0.07360041226928585
1,559675,0.0,0.02816599934073102,0.0225,0.0225,0.005665999340731021
1,558935,0.0,0.04307861894905269,0.1105,0.1105,-0.0674213810509473
1,566187,0.0,0.056440171773716435,0.425,0.425,-0.3685598282262835
1,566140,0.0,0.0599223813166133,0.265,0.265,-0.2050776186833867
1,553829,0.0,0.09521333515706458,0.0795,0.0795,0.01571333515706458
1,553830,0.0,0.09704944133485909,0.0845,0.0845,0.01254944133485908
1,553858,0.0,0.06537573127923152,0.0275,0.0275,0.03787573127923152
1,560317,0.0,0.06529667011326418,0.115,0.115,-0.04970332988673583
1,566170,0.0,0.04800975260081846,0.001,0.0005,0.04700975260081846
1,562794,0.0,0.07756303878299839,0.465,0.465,-0.38743696121700166
1,553831,0.00019976513248027452,0.07196188651970405,0.0065,0.0065,0.06546188651970404
1,561993,0.0,0.024578541643876566,0.0065,0.0065,0.018078541643876567
1,564194,0.0,0.11563264543120572,0.235,0.235,-0.11936735456879427
1,564195,0.0,0.11720322911716592,0.135,0.135,-0.017796770882834087
1,561975,0.0,0.040785459639327684,0.2045,0.2045,-0.1637145403606723
1,562830,0.0,0.08499038774402579,0.345,0.345,-0.2600096122559742
1,559672,0.0,0.025170439701347323,0.0115,0.0115,0.013670439701347323
1,562831,0.0,0.08065783587668664,0.135,0.135,-0.05434216412331337
1,553843,0.00022118817491798457,0.09312505405037703,0.026,0.026,0.06712505405037704
1,559688,0.0,0.021673075734704044,0.0075,0.0075,0.014173075734704044
1,565064,0.0,0.04612992262003027,0.385,0.385,-0.33887007737996977
1,561230,0.0,0.03760475042373152,0.1805,0.1805,-0.14289524957626848
1,567560,0.0,0.05055753013488869,0.0065,0.0065,0.04405753013488869
1,553851,0.0,0.08499224190393041,0.071,0.071,0.013992241903930419
1,553876,0.0,0.0503710478442549,0.0015,0.0015,0.048871047844254896
1,561974,0.0,0.0387633714709667,0.3965,0.3965,-0.3577366285290333
1,559689,0.0,0.02425452659611439,0.0065,0.0065,0.01775452659611439
1,553849,0.0,0.09185742550652992,0.0455,0.0455,0.04635742550652992
1,558943,0.0,0.03639254862726706,0.0125,0.0125,0.02389254862726706
1,568117,0.0,0.08751536483070599,0.065,0.065,0.022515364830705986
1,561977,0.0,0.03898687534185884,0.0155,0.0155,0.023486875341858837
1,558949,0.0,0.047718781709587633,0.0215,0.0215,0.026218781709587635
1,567562,0.0,0.047013372931706016,0.001,0.0005,0.046013372931706015
1,561233,0.0,0.042012389965605156,0.0205,0.0205,0.021512389965605155
1,569365,0.0005902740804324932,0.09720329568926206,0.0015,0.0015,0.09570329568926206
1,558955,0.0,0.037111317066371434,0.0065,0.0065,0.030611317066371435
1,553824,0.0,0.10930440703028561,0.175,0.175,-0.06569559296971438
1,553863,0.0,0.05154774930845289,0.0175,0.0175,0.03404774930845289
1,562803,0.0,0.0645681428978356,0.155,0.155,-0.09043185710216439
1,561991,0.0,0.026788943513610573,0.0075,0.0075,0.019288943513610574
1,564161,0.00021148274224294458,0.08837257471254518,0.022,0.022,0.06637257471254518
1,540844,0.0,0.05968420699021078,0.494,0.494,-0.43431579300978923
1,559681,0.0,0.021794636050936934,0.0075,0.0075,0.014294636050936935
1,559653,0.0,0.03513288412658726,0.0825,0.0825,-0.047367115873412746
1,567561,0.0,0.05645929820764189,0.985,0.985,-0.9285407017923581
1,567563,0.0,0.05054792742389498,0.001,0.0005,0.04954792742389498
1,558939,0.0,0.04257190284946723,0.0535,0.0535,-0.010928097150532771
1,561248,0.0,0.024886896806987396,0.0065,0.0065,0.018386896806987397
1,561976,0.0,0.029121846980911966,0.0125,0.0125,0.016621846980911965
1,569357,0.0005965275426087211,0.09768778247937468,0.0015,0.0015,0.09618778247937468
1,562793,0.0,0.07876527824565586,0.535,0.535,-0.45623472175434415
1,564166,0.00017380468458824805,0.08195442628803755,0.0185,0.0185,0.06345442628803755
1,561978,0.0,0.03534689966411851,0.0215,0.0215,0.013846899664118513
1,559671,0.0,0.022494065733106118,0.0075,0.0075,0.014994065733106118
1,565065,0.0,0.05642772470620373,0.605,0.605,-0.5485722752937963
1,559686,0.0,0.03290627717890987,0.0105,0.0105,0.02240627717890987
1,559654,0.0,0.03701323400784614,0.0405,0.0405,-0.003486765992153862
