fold,period_idx,date,split,id,delta_w,w
10,10,2025-05-13 00:00:00+00:00,train,540819,0.0,0.0
10,10,2025-05-13 00:00:00+00:00,train,540843,0.0,0.0
10,10,2025-05-13 00:00:00+00:00,train,540844,0.0,0.0
11,11,2025-05-14 00:00:00+00:00,train,540819,0.0,0.0
11,11,2025-05-14 00:00:00+00:00,train,540843,0.0,0.0
11,11,2025-05-14 00:00:00+00:00,train,540844,0.0,0.0
12,12,2025-05-15 00:00:00+00:00,train,540819,0.0,0.0
12,12,2025-05-15 00:00:00+00:00,train,540843,0.0,0.0
12,12,2025-05-15 00:00:00+00:00,train,540844,0.0,0.0
13,13,2025-05-16 00:00:00+00:00,train,540819,0.0,0.0
13,13,2025-05-16 00:00:00+00:00,train,540843,0.0,0.0
13,13,2025-05-16 00:00:00+00:00,train,540844,0.0,0.0
14,14,2025-05-17 00:00:00+00:00,train,540819,0.0,0.0
14,14,2025-05-17 00:00:00+00:00,train,540843,0.0,0.0
14,14,2025-05-17 00:00:00+00:00,train,540844,0.0,0.0
15,15,2025-05-18 00:00:00+00:00,train,540819,0.0,0.0
15,15,2025-05-18 00:00:00+00:00,train,540843,0.0,0.0
15,15,2025-05-18 00:00:00+00:00,train,540844,0.0,0.0
16,16,2025-05-19 00:00:00+00:00,train,540819,0.0,0.0
16,16,2025-05-19 00:00:00+00:00,train,540843,0.0,0.0
16,16,2025-05-19 00:00:00+00:00,train,540844,0.0,0.0
17,17,2025-05-20 00:00:00+00:00,train,540819,0.0,0.0
17,17,2025-05-20 00:00:00+00:00,train,540843,0.0,0.0
17,17,2025-05-20 00:00:00+00:00,train,540844,0.0,0.0
18,18,2025-05-21 00:00:00+00:00,train,540819,0.0,0.0
18,18,2025-05-21 00:00:00+00:00,train,540843,0.0,0.0
18,18,2025-05-21 00:00:00+00:00,train,540844,0.0,0.0
19,19,2025-05-22 00:00:00+00:00,train,540819,0.0,0.0
19,19,2025-05-22 00:00:00+00:00,train,540843,0.0,0.0
19,19,2025-05-22 00:00:00+00:00,train,540844,0.0,0.0
20,20,2025-05-23 00:00:00+00:00,train,540819,0.0,0.0
20,20,2025-05-23 00:00:00+00:00,train,540843,0.0,0.0
20,20,2025-05-23 00:00:00+00:00,train,540844,0.0,0.0
21,21,2025-05-24 00:00:00+00:00,train,540819,0.0,0.0
21,21,2025-05-24 00:00:00+00:00,train,540843,0.0,0.0
21,21,2025-05-24 00:00:00+00:00,train,540844,0.0,0.0
22,22,2025-05-25 00:00:00+00:00,train,540819,0.0,0.0
22,22,2025-05-25 00:00:00+00:00,train,540843,0.0,0.0
22,22,2025-05-25 00:00:00+00:00,train,540844,0.0,0.0
23,23,2025-05-26 00:00:00+00:00,train,540819,0.0,0.0
23,23,2025-05-26 00:00:00+00:00,train,540843,0.0,0.0
23,23,2025-05-26 00:00:00+00:00,train,540844,0.0,0.0
24,24,2025-05-27 00:00:00+00:00,train,540819,0.0,0.0
24,24,2025-05-27 00:00:00+00:00,train,540843,0.0,0.0
24,24,2025-05-27 00:00:00+00:00,train,540844,0.0,0.0
25,25,2025-05-28 00:00:00+00:00,train,540819,0.0,0.0
25,25,2025-05-28 00:00:00+00:00,train,540843,0.0,0.0
25,25,2025-05-28 00:00:00+00:00,train,540844,0.0,0.0
26,26,2025-05-29 00:00:00+00:00,train,540819,0.0,0.0
26,26,2025-05-29 00:00:00+00:00,train,540843,0.0,0.0
26,26,2025-05-29 00:00:00+00:00,train,540844,0.0,0.0
27,27,2025-05-30 00:00:00+00:00,train,540819,0.0,0.0
27,27,2025-05-30 00:00:00+00:00,train,540843,0.0,0.0
27,27,2025-05-30 00:00:00+00:00,train,540844,0.0,0.0
28,28,2025-05-31 00:00:00+00:00,train,540819,0.0,0.0
28,28,2025-05-31 00:00:00+00:00,train,540843,0.0,0.0
28,28,2025-05-31 00:00:00+00:00,train,540844,0.0,0.0
29,29,2025-06-01 00:00:00+00:00,train,540819,0.0,0.0
29,29,2025-06-01 00:00:00+00:00,train,540843,0.0,0.0
29,29,2025-06-01 00:00:00+00:00,train,540844,0.0,0.0
30,30,2025-06-02 00:00:00+00:00,train,540819,0.0,0.0
30,30,2025-06-02 00:00:00+00:00,train,540843,0.0,0.0
30,30,2025-06-02 00:00:00+00:00,train,540844,0.0,0.0
31,31,2025-06-03 00:00:00+00:00,train,540819,0.0,0.0
31,31,2025-06-03 00:00:00+00:00,train,540843,0.0,0.0
31,31,2025-06-03 00:00:00+00:00,train,540844,0.0,0.0
32,32,2025-06-04 00:00:00+00:00,train,540819,0.0,0.0
32,32,2025-06-04 00:00:00+00:00,train,540843,0.0,0.0
32,32,2025-06-04 00:00:00+00:00,train,540844,0.0,0.0
33,33,2025-06-05 00:00:00+00:00,train,540819,0.0,0.0
33,33,2025-06-05 00:00:00+00:00,train,540843,0.0,0.0
33,33,2025-06-05 00:00:00+00:00,train,540844,0.0,0.0
34,34,2025-06-06 00:00:00+00:00,train,540819,0.0,0.0
34,34,2025-06-06 00:00:00+00:00,train,540843,0.0,0.0
34,34,2025-06-06 00:00:00+00:00,train,540844,0.0,0.0
35,35,2025-06-07 00:00:00+00:00,train,540819,0.0,0.0
35,35,2025-06-07 00:00:00+00:00,train,540843,0.0,0.0
35,35,2025-06-07 00:00:00+00:00,train,540844,0.0,0.0
36,36,2025-06-08 00:00:00+00:00,train,540819,0.0,0.0
36,36,2025-06-08 00:00:00+00:00,train,540843,0.0,0.0
36,36,2025-06-08 00:00:00+00:00,train,540844,0.0,0.0
37,37,2025-06-09 00:00:00+00:00,train,540819,0.0,0.0
37,37,2025-06-09 00:00:00+00:00,train,540843,0.0,0.0
37,37,2025-06-09 00:00:00+00:00,train,540844,0.0,0.0
38,38,2025-06-10 00:00:00+00:00,train,540819,0.0,0.0
38,38,2025-06-10 00:00:00+00:00,train,540843,0.0,0.0
38,38,2025-06-10 00:00:00+00:00,train,540844,0.0,0.0
39,39,2025-06-11 00:00:00+00:00,train,540819,0.0,0.0
39,39,2025-06-11 00:00:00+00:00,train,540843,0.0,0.0
39,39,2025-06-11 00:00:00+00:00,train,540844,0.0,0.0
40,40,2025-06-12 00:00:00+00:00,train,540819,0.0,0.0
40,40,2025-06-12 00:00:00+00:00,train,540843,0.0,0.0
40,40,2025-06-12 00:00:00+00:00,train,540844,0.0,0.0
41,41,2025-06-13 00:00:00+00:00,train,540819,0.0,0.0
41,41,2025-06-13 00:00:00+00:00,train,540843,0.0,0.0
41,41,2025-06-13 00:00:00+00:00,train,540844,0.0,0.0
42,42,2025-06-14 00:00:00+00:00,train,540819,0.0,0.0
42,42,2025-06-14 00:00:00+00:00,train,540843,0.0,0.0
42,42,2025-06-14 00:00:00+00:00,train,540844,0.0,0.0
43,43,2025-06-15 00:00:00+00:00,train,540819,0.0,0.0
43,43,2025-06-15 00:00:00+00:00,train,540843,0.0,0.0
43,43,2025-06-15 00:00:00+00:00,train,540844,0.0,0.0
44,44,2025-06-16 00:00:00+00:00,train,540819,0.0,0.0
44,44,2025-06-16 00:00:00+00:00,train,540843,0.0,0.0
44,44,2025-06-16 00:00:00+00:00,train,540844,0.0,0.0
45,45,2025-06-17 00:00:00+00:00,train,540819,0.0,0.0
45,45,2025-06-17 00:00:00+00:00,train,540843,0.0,0.0
45,45,2025-06-17 00:00:00+00:00,train,540844,0.0,0.0
46,46,2025-06-18 00:00:00+00:00,train,540819,0.0,0.0
46,46,2025-06-18 00:00:00+00:00,train,540843,0.0,0.0
46,46,2025-06-18 00:00:00+00:00,train,540844,0.0,0.0
47,47,2025-06-19 00:00:00+00:00,train,540819,0.0,0.0
47,47,2025-06-19 00:00:00+00:00,train,540843,0.0,0.0
47,47,2025-06-19 00:00:00+00:00,train,540844,0.0,0.0
48,48,2025-06-20 00:00:00+00:00,train,540819,0.0,0.0
48,48,2025-06-20 00:00:00+00:00,train,540843,0.0,0.0
48,48,2025-06-20 00:00:00+00:00,train,540844,0.0,0.0
49,49,2025-06-21 00:00:00+00:00,train,540819,0.0,0.0
49,49,2025-06-21 00:00:00+00:00,train,540843,0.0,0.0
49,49,2025-06-21 00:00:00+00:00,train,540844,0.0,0.0
50,50,2025-06-22 00:00:00+00:00,train,540819,0.0,0.0
50,50,2025-06-22 00:00:00+00:00,train,540843,0.0,0.0
50,50,2025-06-22 00:00:00+00:00,train,540844,0.0,0.0
51,51,2025-06-23 00:00:00+00:00,train,540819,0.0,0.0
51,51,2025-06-23 00:00:00+00:00,train,540843,0.0,0.0
51,51,2025-06-23 00:00:00+00:00,train,540844,0.0,0.0
52,52,2025-06-24 00:00:00+00:00,train,540819,0.0,0.0
52,52,2025-06-24 00:00:00+00:00,train,540843,0.0,0.0
52,52,2025-06-24 00:00:00+00:00,train,540844,0.0,0.0
52,52,2025-06-24 00:00:00+00:00,train,553824,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553826,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553827,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553828,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553829,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553830,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553831,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553837,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553838,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553839,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553843,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553848,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553849,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553850,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553851,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553852,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553856,0.0,0.0
52,52,2025-06-24 00:00:00+00:00,train,553857,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553858,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553859,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553860,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553862,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553863,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553864,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553865,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553866,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553869,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553871,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553876,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553877,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553879,0.032258064516129024,0.032258064516129024
52,52,2025-06-24 00:00:00+00:00,train,553881,0.032258064516129024,0.032258064516129024
53,53,2025-06-25 00:00:00+00:00,train,540819,0.0,0.0
53,53,2025-06-25 00:00:00+00:00,train,540843,0.0,0.0
53,53,2025-06-25 00:00:00+00:00,train,540844,0.0,0.0
53,53,2025-06-25 00:00:00+00:00,train,553824,-0.032258064516129024,0.0
53,53,2025-06-25 00:00:00+00:00,train,553826,-0.005789363999233365,0.02646870051689566
53,53,2025-06-25 00:00:00+00:00,train,553827,-0.01590290602104482,0.016355158495084204
53,53,2025-06-25 00:00:00+00:00,train,553828,-0.032258064516129024,0.0
53,53,2025-06-25 00:00:00+00:00,train,553829,-0.0038235116181207437,0.02843455289800828
53,53,2025-06-25 00:00:00+00:00,train,553830,-0.01716365808160401,0.015094406434525014
53,53,2025-06-25 00:00:00+00:00,train,553831,-0.005150083141756436,0.027107981374372588
53,53,2025-06-25 00:00:00+00:00,train,553837,0.025998830141977486,0.05825689465810651
53,53,2025-06-25 00:00:00+00:00,train,553838,0.009876489193612226,0.04213455370974125
53,53,2025-06-25 00:00:00+00:00,train,553839,0.014729021793416473,0.0469870863095455
53,53,2025-06-25 00:00:00+00:00,train,553843,0.002656476795464227,0.03491454131159325
53,53,2025-06-25 00:00:00+00:00,train,553848,0.0017703892826237203,0.034028453798752745
53,53,2025-06-25 00:00:00+00:00,train,553849,-0.0027491751232629376,0.029508889392866087
53,53,2025-06-25 00:00:00+00:00,train,553850,0.011549306222417337,0.04380737073854636
53,53,2025-06-25 00:00:00+00:00,train,553851,-0.024808214786622138,0.007449849729506887
53,53,2025-06-25 00:00:00+00:00,train,553852,0.008129187079301443,0.04038725159543047
53,53,2025-06-25 00:00:00+00:00,train,553856,0.0,0.0
53,53,2025-06-25 00:00:00+00:00,train,553857,-0.016062229879543713,0.01619583463658531
53,53,2025-06-25 00:00:00+00:00,train,553858,0.004029197650043614,0.03628726216617264
53,53,2025-06-25 00:00:00+00:00,train,553859,-0.005734455363745006,0.02652360915238402
53,53,2025-06-25 00:00:00+00:00,train,553860,-0.00574024047083644,0.026517824045292585
53,53,2025-06-25 00:00:00+00:00,train,553862,-0.032258064516129024,0.0
53,53,2025-06-25 00:00:00+00:00,train,553863,0.02501140580146565,0.057269470317594676
53,53,2025-06-25 00:00:00+00:00,train,553864,-0.0029640419800434047,0.02929402253608562
53,53,2025-06-25 00:00:00+00:00,train,553865,-0.010398842492916838,0.021859222023212187
53,53,2025-06-25 00:00:00+00:00,train,553866,-0.032258064516129024,0.0
53,53,2025-06-25 00:00:00+00:00,train,553869,-0.004546847142749739,0.027711217373379286
53,53,2025-06-25 00:00:00+00:00,train,553871,0.014617435350026305,0.04687549986615533
53,53,2025-06-25 00:00:00+00:00,train,553876,0.00666549813549723,0.038923562651626255
53,53,2025-06-25 00:00:00+00:00,train,553877,-0.0040595743137899105,0.028198490202339114
53,53,2025-06-25 00:00:00+00:00,train,553879,0.03485367097984194,0.06711173549597096
53,53,2025-06-25 00:00:00+00:00,train,553881,0.027205910236849616,0.05946397475297864
54,54,2025-06-26 00:00:00+00:00,train,540819,0.0,0.0
54,54,2025-06-26 00:00:00+00:00,train,540843,0.0025982000279046696,0.0025982000279046696
54,54,2025-06-26 00:00:00+00:00,train,540844,0.0,0.0
54,54,2025-06-26 00:00:00+00:00,train,553824,0.0,0.0
54,54,2025-06-26 00:00:00+00:00,train,553826,-0.01614023764542439,0.01032846287147127
54,54,2025-06-26 00:00:00+00:00,train,553827,-0.002856865864274751,0.013498292630809454
54,54,2025-06-26 00:00:00+00:00,train,553828,0.0,0.0
54,54,2025-06-26 00:00:00+00:00,train,553829,-0.016143618298241673,0.012290934599766606
54,54,2025-06-26 00:00:00+00:00,train,553830,-0.009438902600201592,0.005655503834323421
54,54,2025-06-26 00:00:00+00:00,train,553831,-0.0044422500907137195,0.02266573128365887
54,54,2025-06-26 00:00:00+00:00,train,553837,0.016352193926347007,0.07460908858445352
54,54,2025-06-26 00:00:00+00:00,train,553838,0.00845446470394489,0.05058901841368614
54,54,2025-06-26 00:00:00+00:00,train,553839,-0.009007559799420764,0.037979526510124734
54,54,2025-06-26 00:00:00+00:00,train,553843,0.016398215342049265,0.051312756653642516
