fold,period_idx,date,split,id,weight,p_hat,c_exec,implied,next_implied,edge
10,10,2025-05-13 00:00:00+00:00,train,540819,0.0,0.48573080067517344,0.485,0.485,0.485,0.0007308006751734486
10,10,2025-05-13 00:00:00+00:00,train,540843,0.0,0.5093205939397607,0.51,0.51,0.51,-0.000679406060239307
10,10,2025-05-13 00:00:00+00:00,train,540844,0.0,0.49394823998158816,0.494,0.494,0.494,-5.1760018411839415e-05
11,11,2025-05-14 00:00:00+00:00,train,540819,0.0,0.4856743644818277,0.485,0.485,0.485,0.0006743644818277272
11,11,2025-05-14 00:00:00+00:00,train,540843,0.0,0.5093827869668744,0.51,0.51,0.51,-0.0006172130331255632
11,11,2025-05-14 00:00:00+00:00,train,540844,0.0,0.493942508408248,0.494,0.494,0.494,-5.749159175200136e-05
12,12,2025-05-15 00:00:00+00:00,train,540819,0.0,0.48562650085589437,0.485,0.485,0.485,0.0006265008558943852
12,12,2025-05-15 00:00:00+00:00,train,540843,0.0,0.5094348761786031,0.51,0.51,0.51,-0.0005651238213969512
12,12,2025-05-15 00:00:00+00:00,train,540844,0.0,0.493938304443343,0.494,0.494,0.494,-6.169555665697102e-05
13,13,2025-05-16 00:00:00+00:00,train,540819,0.0,0.4855853506914,0.485,0.485,0.485,0.0005853506914000328
13,13,2025-05-16 00:00:00+00:00,train,540843,0.0,0.5094791134295681,0.51,0.51,0.51,-0.0005208865704319221
13,13,2025-05-16 00:00:00+00:00,train,540844,0.0,0.4939352361088756,0.494,0.494,0.494,-6.476389112441971e-05
14,14,2025-05-17 00:00:00+00:00,train,540819,0.0,0.48554956109367237,0.485,0.485,0.485,0.0005495610936723794
14,14,2025-05-17 00:00:00+00:00,train,540843,0.0,0.5095171303360766,0.51,0.51,0.51,-0.00048286966392341313
14,14,2025-05-17 00:00:00+00:00,train,540844,0.0,0.4939330252464224,0.494,0.494,0.494,-6.697475357758664e-05
15,15,2025-05-18 00:00:00+00:00,train,540819,0.0,0.48551812341685274,0.485,0.485,0.485,0.000518123416852756
15,15,2025-05-18 00:00:00+00:00,train,540843,0.0,0.5095501377188024,0.51,0.51,0.51,-0.0004498622811975883
15,15,2025-05-18 00:00:00+00:00,train,540844,0.0,0.4939314701028857,0.494,0.494,0.494,-6.852989711431112e-05
16,16,2025-05-19 00:00:00+00:00,train,540819,0.0,0.4854902698460295,0.485,0.485,0.485,0.0004902698460295118
16,16,2025-05-19 00:00:00+00:00,train,540843,0.0,0.5095790527895105,0.51,0.51,0.51,-0.00042094721048946404
16,16,2025-05-19 00:00:00+00:00,train,540844,0.0,0.49393042160384415,0.494,0.494,0.494,-6.957839615584493e-05
17,17,2025-05-20 00:00:00+00:00,train,540819,0.0,0.48546540522002984,0.485,0.485,0.485,0.0004654052200298575
17,17,2025-05-20 00:00:00+00:00,train,540843,0.0,0.5096045828740172,0.51,0.51,0.51,-0.0003954171259827888
17,17,2025-05-20 00:00:00+00:00,train,540844,0.0,0.4939297678356982,0.494,0.494,0.494,-7.02321643017978e-05
18,18,2025-05-21 00:00:00+00:00,train,540819,0.0,0.4854430608253949,0.485,0.485,0.485,0.0004430608253949142
18,18,2025-05-21 00:00:00+00:00,train,540843,0.0,0.5096272820596172,0.51,0.51,0.51,-0.00037271794038284956
18,18,2025-05-21 00:00:00+00:00,train,540844,0.0,0.4939294236232115,0.494,0.494,0.494,-7.057637678847817e-05
19,19,2025-05-22 00:00:00+00:00,train,540819,0.0,0.48542286231321613,0.485,0.485,0.485,0.00042286231321614354
19,19,2025-05-22 00:00:00+00:00,train,540843,0.0,0.5096475904553871,0.51,0.51,0.51,-0.0003524095446129083
19,19,2025-05-22 00:00:00+00:00,train,540844,0.0,0.49392932336555684,0.494,0.494,0.494,-7.067663444315642e-05
20,20,2025-05-23 00:00:00+00:00,train,540819,0.0,0.48540450694059073,0.485,0.485,0.485,0.0004045069405907431
20,20,2025-05-23 00:00:00+00:00,train,540843,0.0,0.5096658619852676,0.51,0.51,0.51,-0.0003341380147323658
20,20,2025-05-23 00:00:00+00:00,train,540844,0.0,0.49392941601115214,0.494,0.494,0.494,-7.058398884784989e-05
21,21,2025-05-24 00:00:00+00:00,train,540819,0.0,0.4853877471164608,0.485,0.485,0.485,0.0003877471164608348
21,21,2025-05-24 00:00:00+00:00,train,540843,0.0,0.5096823844377456,0.51,0.51,0.51,-0.000317615562254403
21,21,2025-05-24 00:00:00+00:00,train,540844,0.0,0.4939296614689314,0.494,0.494,0.494,-7.033853106858112e-05
22,22,2025-05-25 00:00:00+00:00,train,540819,0.0,0.4853723783009792,0.485,0.485,0.485,0.00037237830097919256
22,22,2025-05-25 00:00:00+00:00,train,540843,0.0,0.5096973941756493,0.51,0.51,0.51,-0.00030260582435071015
22,22,2025-05-25 00:00:00+00:00,train,540844,0.0,0.4939300280041904,0.494,0.494,0.494,-6.997199580960345e-05
23,23,2025-05-26 00:00:00+00:00,train,540819,0.0,0.48535822996884714,0.485,0.485,0.485,0.00035822996884715685
23,23,2025-05-26 00:00:00+00:00,train,540843,0.0,0.5097110870934622,0.51,0.51,0.51,-0.0002889129065377638
23,23,2025-05-26 00:00:00+00:00,train,540844,0.0,0.49393049032168246,0.494,0.494,0.494,-6.95096783175364e-05
24,24,2025-05-27 00:00:00+00:00,train,540819,0.0,0.48534515876632256,0.485,0.485,0.485,0.00034515876632257303
24,24,2025-05-27 00:00:00+00:00,train,540843,0.0,0.5097236268924468,0.51,0.51,0.51,-0.0002763731075532405
24,24,2025-05-27 00:00:00+00:00,train,540844,0.0,0.493931028136333,0.494,0.494,0.494,-6.897186366700003e-05
25,25,2025-05-28 00:00:00+00:00,train,540819,0.0,0.48533304326340787,0.485,0.485,0.485,0.00033304326340788393
25,25,2025-05-28 00:00:00+00:00,train,540843,0.0,0.5097351514088121,0.51,0.51,0.51,-0.00026484859118791615
25,25,2025-05-28 00:00:00+00:00,train,540844,0.0,0.49393162509506916,0.494,0.494,0.494,-6.837490493083465e-05
26,26,2025-05-29 00:00:00+00:00,train,540819,0.0,0.4853217798825683,0.485,0.485,0.485,0.00032177988256831824
26,26,2025-05-29 00:00:00+00:00,train,540843,0.0,0.5097457775086307,0.51,0.51,0.51,-0.00025422249136930475
